grien	dziwdu	dziwdu_qhanshiev	zyephev	chetxryn_ziosryo_sishiev	chetxryn_ziosryo_xrynmyuk	chetxryn_ziosryo_sieuxryn	diavko_xrynbu	chetxryn_dzankryen_pyunlyi	chetxryn_dzankryen	pyanchet_chetxryn	pyanchet_chetxryn_tyoshiek	pyanchet_xyavxryn	pyanchet_xyavxryn_tyoshiek	pyanchet_kuavxryn	pyanchet_kuavxryn_tyoshiek	pyanchet_dzipxryn	pyanchet_dzipxryn_tyoshiek	qhanziwqhwi_shievlyi	qhanziwqhwi_xrynlyi	qhanziwqhwi_deulyi	giwtha_potyo	qrimvrielan	thovqitmra
04E09-003-039-124	三		sâm	3	39	124	談	0	[《藤田2018》]	null		null		蘇暫切				心	闞	去			U+4E09
04E0A-002-035-025	上		diáŋ	2	35	25	陽	2	[《切三》]	時掌反		時掌反		時掌切				禪	養	上			U+4E0A
04E0A-003-040-013	上		diâŋ	3	40	13	陽	2	[《S6176v》]	〓〓反		常亮反		時亮切				禪	漾	去			U+4E0A
04E0B-002-032-008	下		xrá	2	32	8	魚	2	[《切三》]	胡雅反		胡雅反		胡雅切				匣	馬	上			U+4E0B
04E0B-003-037-012	下		xrâ	3	37	12	魚	0	[《藤田2018》]	null		胡訝反		胡駕切				匣	禡	去			U+4E0B
04E0F-002-025-010	丏		mén	2	25	10	元	2	[《切三》]	null		null		彌殄切				明	銑	上			U+4E0F
04E16-003-014-027	世		shiêi	3	14	27	月	3	[《P3696(1)v》]	舒制反		舒制反		舒制切				書	祭	去			U+4E16
04E18-001-043-016	丘		khyu	1	43	16	之	2	[《切三》]	去求反		去求反		去鳩切				溪	尤	平			U+4E18
04E26-002-037-102	並		bráŋ	2	37	102	陽	2	[《切三》]	null		null		null		null		null	null	null	見音義欄。	béŋの本讀音。《左傳·襄公三十年》注：“並畔爲疇。”音義：“並，薄杏反，又薄頂反（béŋ）。”《詩·召南·江有汜》箋：“興者，喻江水大，汜水小，然而並流，似嫡媵宜俱行。”音義：“並，白猛反，又步頂反（béŋ）。”《名義》：“並，蒲鯁反，併也，俱也。”又“穬（kruáŋ）”字條：“古並反。”	U+4E26
04E26-002-040-018	並		béŋ	2	40	18	耕	2	[《切三》]	萍〓反		萍迥反		蒲迥切				並	迥	上			U+4E26
04E26-003-041-007	並		bâŋ	3	41	7	陽	0	[《藤田2018》]	null		null		null		蒲浪切		並	宕	去			U+4E26
04E28-002-020-009	丨		kún	2	20	9	文	1	[《切一》]	null		null		古本切				見	混	上			U+4E28
04E29-001-043-018	丩		kyu	1	43	18	幽	2	[《切三》]	null		居求反		居求切				見	尤	平			U+4E29
04E2A-003-027-022	个		kân	3	27	22	元	3	[《S6176r》]	null		null		null		居案切		null	null	null			U+4E2A
04E2A-003-036-001	个		kâ	3	36	1	歌	0	[《藤田2018》]	null		null		古賀切				見	個	去			U+4E2A
04E2B-001-034-016	丫		qra	1	34	16	魚	2	[《切三》]	null		null		於加切				影	麻	平			U+4E2B
04E2D-001-001-003	中		tryuŋ	1	1	3	冬	3	[《切二》]	陟隆反		陟隆反		陟弓切				知	東	平			U+4E2D
04E2D-003-001-012	中		dryûŋ	3	1	12	冬	3	[《P3696(1)r》]	null		null		null		直衆切		null	null	null			U+4E2D
04E2D-003-001-020	中		tryûŋ	3	1	20	冬	3	[《P3696(1)r》]	陟仲反		陟仲反		陟仲切				知	送	去			U+4E2D
04E32-003-028-008	串		kruân	3	28	8	元	0	[《藤田2018》]	null		null		古患切				見	諫	去			U+4E32
04E32-003-031-009	串		thyên	3	31	9	元	0	[《藤田2018》]	null		null		null		null		昌	線	去	《字彙》：“串，樞絹切，音釧，穿也，貫也。”		U+4E32
04E39-001-024-015	丹		tan	1	24	15	元	2	[《切三》]	都寒反		都寒反		都寒切				端	寒	平			U+4E39
04E3C-002-033-014	丼		tə́m	2	33	14	侵	1	[《P4917》]	null		null		都感切				端	感	上			U+4E3C
04E3C-002-039-011	丼		ciéŋ	2	39	11	耕	2	[《切三》]	null		null		子郢切				精	静	上			U+4E3C
04E45-002-041-007	久		kyú	2	41	7	之	3	[《P3693v》]	舉有反		舉有反		舉有切				見	有	上			U+4E45
04E4B-001-007-001	之		tiə	1	7	1	之	2	[《P3696(2)》]	止而反		止而反		止而切				章	之	平			U+4E4B
04E56-001-014-004	乖		kruei	1	14	4	微	2	[《切三》]	古懷反		古懷反		古懷切				見	皆	平			U+4E56
04E58-001-049-009	乘		zhiəŋ	1	49	9	蒸	2	[《切三》]	食陵反		食陵反		食陵切				船	蒸	平			U+4E58
04E58-003-052-003	乘		zhiə̂ŋ	3	52	3	蒸	2	[《P3694r》]	實證反		實證反		實證切				船	證	去			U+4E58
04E5D-001-043-018	九		kyu	1	43	18	幽	2	[《切三》]	null		null		null		居尤切		見	尤	平			U+4E5D
04E5D-002-041-007	九		kyú	2	41	7	幽	3	[《P3693v》]	舉有反		舉有反		舉有切				見	有	上			U+4E5D
04E5E-003-008-013	乞		khiə̂i	3	8	13	物	0	[《藤田2018》]	null		去既反		去既切				溪	未	去			U+4E5E
04E5E-004-008-006	乞		khiət	4	8	6	物	2	[《切三》, 《P3694v》]	去訖反		去訖反		去訖切				溪	迄	入			U+4E5E
04E85-004-009-007	亅		gyat	4	9	7	月	2	[《切三》, 《P3694v》]	null		null		其月切				群	月	入			U+4E85
04E86-002-027-004	了		léu	2	27	4	宵	2	[《切三》]	盧鳥反		盧鳥反		盧鳥切				來	篠	上			U+4E86
04E88-001-009-006	予		jio	1	9	6	魚	3	[《切二》]	与魚反		与魚反	《王一》与魚反，《王三》脱字（与魚反）。	以諸切				以	魚	平			U+4E88
04E88-002-008-004	予		jió	2	8	4	魚	2	[《切三》]	余筥反		余筥反		余吕切				以	語	上			U+4E88
04E89-001-040-018	争		creŋ	1	40	18	耕	2	[《切三》]	側莖反		側莖反		側莖切				莊	耕	平			U+4E89
04E89-003-043-001	争		crêŋ	3	43	1	耕	0	[《藤田2018》]	null		null		側迸切				莊	諍	去			U+4E89
04E8C-003-006-030	二		nî	3	6	30	脂	0	[《藤田2018》]	而至反		而至反		而至切				日	至	去			U+4E8C
04E91-001-019-002	云		xyun	1	19	2	文	2	[《切三》]	户分反		王分反		王分切				云	文	平			U+4E91
04E94-002-010-008	五		ŋó	2	10	8	魚	2	[《切三》]	吾古反		吾古反		疑古切				疑	姥	上			U+4E94
04E95-002-039-011	井		ciéŋ	2	39	11	耕	2	[《切三》]	子郢反		子郢反		子郢切				精	静	上			U+4E95
04EA1-001-010-003	亡		myo	1	10	3	魚	2	[《切三》]	null		null		null		微夫切		微	虞	平			U+4EA1
04EA1-001-037-018	亡		myaŋ	1	37	18	陽	2	[《切三》]	武方反		武方反		武方切				微	陽	平			U+4EA1
04EA4-001-031-002	交		krau	1	31	2	宵	2	[《切三》]	古肴反		古肴反		古肴切				見	肴	平			U+4EA4
04EA6-004-017-004	亦		jiek	4	17	4	鐸	2	[《切三》]	羊益反		羊益反		羊益切				以	昔	入			U+4EA6
04EAC-001-039-016	京		krieŋ	1	39	16	陽	2	[《切三》]	九卿反		舉卿反		舉卿切				見	庚	平			U+4EAC
04EAD-001-042-004	亭		deŋ	1	42	4	耕	2	[《切三》]	特丁反		特丁反		特丁切				定	青	平			U+4EAD
04EAE-001-037-003	亮		liaŋ	1	37	3	陽	2	[《切三》]	null		null		null		吕張切		來	陽	平			U+4EAE
04EAE-003-040-002	亮		liâŋ	3	40	2	陽	0	[《藤田2018》]	力讓反		力讓反		力讓切				來	漾	去			U+4EAE
04EB6-001-028-013	亶		dien	1	28	13	元	2	[《切三》]	null		null		null		時連切		null	null	null			U+4EB6
04EB6-002-022-016	亶		dán	2	22	16	元	2	[《切三》]	null		null		null		蕩旱切		定	旱	上			U+4EB6
04EB6-002-022-018	亶		tán	2	22	18	元	1	[《切一》]	多旱反		多旱反		多旱切				端	旱	上			U+4EB6
04EBA-001-017-013	人		nin	1	17	13	真	2	[《切三》]	如鄰反		如鄰反		如鄰切				日	真	平			U+4EBA
04EC0-004-026-002	什		dip	4	26	2	緝	2	[《切三》, 《P3799》]	是執反		是執反		是執切				禪	緝	入			U+4EC0
04EC1-001-017-013	仁		nin	1	17	13	真	2	[《切三》]	如鄰反		如鄰反		如鄰切				日	真	平			U+4EC1
04EC3-001-042-005	仃		teŋ	1	42	5	耕	2	[《切三》]	null		null		當經切				端	青	平			U+4EC3
04EC4-004-029-025	仄		criək	4	29	25	職	2	[《P4746》]	〓〓反		阻力反		阻力切				莊	職	入			U+4EC4
04EC7-001-043-029	仇		gyu	1	43	29	幽	2	[《切三》]	巨鳩反		巨鳩反		巨鳩切				群	尤	平			U+4EC7
04ECA-001-046-021	今		krim	1	46	21	侵	2	[《S6187》]	居音反		居音反		居吟切				見	侵	平			U+4ECA
04ECB-003-016-004	介		krêi	3	16	4	月	3	[《P3696(1)v》]	古拜反		古拜反		古拜切				見	怪	去			U+4ECB
04ED4-001-007-021	仔		ciə	1	7	21	之	2	[《切三》]	null		子慈反		子之切				null	null	null			U+4ED4
04ED4-002-006-017	仔		ciə́	2	6	17	之	2	[《切三》, 《TIVK75-100br》]	null		即里反		即里切				精	止	上			U+4ED4
04ED4-002-015-003	仔		cə́i	2	15	3	之	2	[《切三》]	null		null		null		null		null	null	null	《新華字典》現代音zǎi條：“同‘崽’。”《名義》：“崽，子改反，子也，者多支相呼也。”		U+4ED4
04ED9-001-028-001	仙		sien	1	28	1	元	2	[《切三》]	相然反		相然反		相然切				心	仙	平			U+4ED9
04EDD-001-001-002	仝		duŋ	1	1	2	東	3	[《切二》]	null		徒紅反		徒紅切				定	東	平			U+4EDD
04EDF-001-027-003	仟		chen	1	27	3	真	2	[《切三》]	倉先反		倉先反		蒼先切				清	先	平			U+4EDF
04EE1-004-008-001	仡		qhiət	4	8	1	物	2	[《切三》]	許訖反		許訖反		許訖切				null	null	null			U+4EE1
04EE1-004-008-002	仡		kiət	4	8	2	物	2	[《切三》, 《P3694v》]	null		null		null		null		null	null	null	《漢辭海》音C。無音證，見音義欄。	民族名｛仡佬（–láu）｝=｛犵獠｝の詞音。《大詞典》“犵獠”詞條：“即仡佬族。《元和郡縣志·江南道六·洛浦》：‘縣東西各有石城一，甚險固，犵獠反亂，居人皆保其土。’”音者盧伽所按，見“犵”字條。	U+4EE1
04EE1-004-008-003	仡		ŋiət	4	8	3	物	2	[《切三》, 《P3694v》]	null		null		魚迄切				疑	迄	入			U+4EE1
04EE1-004-010-009	仡		ŋət	4	10	9	物	2	[《切三》, 《P3694v》]	null		null		null		五忽切		疑	没	入			U+4EE1
04EF2-003-001-012	仲		dryûŋ	3	1	12	冬	3	[《P3696(1)r》]	直衆反		直衆反		直衆切				澄	送	去			U+4EF2
04EF5-002-010-008	仵		ŋó	2	10	8	魚	2	[《切三》]	null		吾古反		疑古切				疑	姥	上			U+4EF5
04EF6-002-026-015	件		grién	2	26	15	元	2	[《切三》]	其輦反		其輦反		其輦切				群	獮	上			U+4EF6
04EF7-003-016-004	价		krêi	3	16	4	月	3	[《P3696(1)v》]	古拜反		古拜反		古拜切				見	怪	去			U+4EF7
04F01-002-004-113	企		khié	2	4	113	支	2	[《切三》]	null		null		丘弭切				溪	紙	上			U+4F01
04F01-003-005-028	企		khiê	3	5	28	支	3	[《P3696(1)r》]	去智反		去智反		去智切				null	null	null			U+4F01
04F03-001-009-006	伃		jio	1	9	6	魚	3	[《切二》]	与魚反		与魚反	《王一》与魚反，《王三》未收。	以諸切				以	魚	平			U+4F03
04F0B-004-026-011	伋		grip	4	26	11	緝	2	[《切三》, 《P3799》]	null		null		null		極入切		群	緝	入			U+4F0B
04F0B-004-026-015	伋		krip	4	26	15	緝	2	[《切三》]	居立反		居立反		居立切				見	緝	入			U+4F0B
04F0D-002-010-008	伍		ŋó	2	10	8	魚	2	[《切三》]	吾古反		吾古反		疑古切				疑	姥	上			U+4F0D
04F0F-003-046-023	伏		byû	3	46	23	職	2	[《P3694r》]	null		null		扶富切				奉	宥	去			U+4F0F
04F0F-004-001-019	伏		byuk	4	1	19	職	2	[《切三》]	房六反		房六反		房六切				奉	屋	入			U+4F0F
04F11-001-043-024	休		qhyu	1	43	24	幽	2	[《切三》]	許尤反		許尤反		許尤切				曉	尤	平			U+4F11
04F11-003-010-008	休		qhyô	3	10	8	侯	0	[《藤田2018》]	null		null		null		吁句切		null	null	null			U+4F11
04F19-002-031-002	伙		qhuá	2	31	2	微	2	[《切三》]	null		null		null		null		null	null	null	《辭源》第一義項：“見‘伙伴’。”“伙伴”詞條：“見‘火伴’。”“火伴”詞條：“古兵制以十人爲火，共竈起火，故稱同火者爲火伴。《樂府詩集》二五《木蘭詩》：‘出門看火伴，火伴皆驚忙。’後泛指同伴。唐元稹《長慶集》二三《估客樂》詩：‘出門求火伴，入户辭父兄。’”		U+4F19
04F2D-001-027-007	伭		xen	1	27	7	真	2	[《切三》]	null		null		胡田切				null	null	null			U+4F2D
04F2F-003-037-021	伯		prâ	3	37	21	鐸	0	[《藤田2018》]	null		null		null		null		幫	禡	去	《史記·齊太公世家》：“晋文公敗楚於城濮，而會諸侯踐土，朝周，天子使晋稱伯。”正義：“伯，音霸。”		U+4F2F
04F2F-004-019-001	伯		mrak	4	19	1	鐸	2	[《切三》]	null		null		null		null		明	陌	入	《漢書·地理志下·秦地》：“孝公用商君，制轅田，開仟伯，東雄諸侯。”注：“南北曰‘仟’，東西曰‘伯’，皆謂開田之疆畝也。伯，音莫白反。”		U+4F2F
04F2F-004-019-003	伯		prak	4	19	3	鐸	2	[《切三》]	博白反		博白反		博陌切				幫	陌	入			U+4F2F
04F30-002-010-006	估		kó	2	10	6	魚	2	[《切三》]	姑户反		姑户反		公户切				見	姥	上			U+4F30
04F34-002-022-013	伴		bán	2	22	13	元	1	[《切一》]	〓〓反		薄旱反		蒲旱切				並	緩	上			U+4F34
04F34-003-027-012	伴		bân	3	27	12	元	0	[《藤田2018》]	null		null		薄半切				並	换	去			U+4F34
04F37-003-046-003	伷		dryû	3	46	3	幽	2	[《P3694r》]	直祐反		直祐反		直祐切				澄	宥	去			U+4F37
04F43-001-027-010	佃		den	1	27	10	真	2	[《切三》]	徒賢反		徒賢反		徒年切				定	先	平			U+4F43
04F43-003-030-006	佃		dên	3	30	6	真	0	[《藤田2018》]	null		堂見反		堂練切				定	霰	去			U+4F43
04F46-001-024-018	但		dan	1	24	18	元	2	[《切三》]	null		null		徒干切				null	null	null			U+4F46
04F46-002-022-016	但		dán	2	22	16	元	2	[《切三》]	徒旱反		徒旱反		徒旱切				定	旱	上			U+4F46
04F46-003-027-021	但		dân	3	27	21	元	0	[《藤田2018》]	null		null		徒案切				null	null	null			U+4F46
04F4D-003-006-002	位		xrŷi	3	6	2	緝	0	[《藤田2018》]	洧冀反		洧冀反		于愧切				云	至	去			U+4F4D
04F50-003-036-003	佐		câ	3	36	3	歌	0	[《藤田2018》]	作箇反		作箇反		則箇切				精	個	去			U+4F50
04F51-003-046-001	佑		xyû	3	46	1	之	2	[《P3694r》]	尤救反		尤救反		于救切				云	宥	去			U+4F51
04F53-002-020-012	体		bún	2	20	12	文	1	[《切一》]	null		盆本反		蒲本切				null	null	null			U+4F53
04F58-001-034-024	佘		dia	1	34	24	魚	2	[《切三》]	null		null		視遮切				禪	麻	平	《廣韵》作“余”。今依現代字改之矣。		U+4F58
04F59-001-009-003	余		shio	1	9	3	魚	3	[《切二》]	null		null		null		商居切		null	null	null			U+4F59
04F59-001-009-006	余		jio	1	9	6	魚	2	[《切三》]	与魚反		与魚反		以諸切				以	魚	平			U+4F59
04F59-001-009-013	余		zio	1	9	13	魚	2	[《切三》]	null		null		null		祥余切		null	null	null			U+4F59
04F59-001-011-005	余		do	1	11	5	魚	1	[《P3695》+《P3696(p13)》]	null		null		null		同都切		null	null	null			U+4F59
04F59-003-009-019	余		jiô	3	9	19	魚	0	[《藤田2018》]	null		null		null		羊茹切		null	null	null			U+4F59
04F5D-003-047-015	佝		qhû	3	47	15	侯	2	[《P3694r》]	null		null		呼漏切				曉	候	去			U+4F5D
04F5E-003-045-002	佞		nêŋ	3	45	2	耕	2	[《P3694r》]	乃定反		乃定反		乃定切				泥	徑	去			U+4F5E
04F5F-001-002-002	佟		doŋ	1	2	2	冬	2	[《P3798》]	徒冬反		徒冬反		徒冬切				定	冬	平			U+4F5F
04F69-003-018-002	佩		bûi	3	18	2	之	3	[《P3696(1)v》]	薄背反		薄背反		蒲昧切				並	隊	去			U+4F69
04F6A-001-015-004	佪		xui	1	15	4	微	2	[《切三》]	null		null		户恢切				匣	灰	平			U+4F6A
04F70-004-019-001	佰		mrak	4	19	1	鐸	2	[《切三》]	null		null		莫白切				明	陌	入			U+4F70
04F70-004-019-003	佰		prak	4	19	3	鐸	2	[《切三》]	null		null		null		博陌切		幫	陌	入			U+4F70
04F74-003-007-011	佴		niə̂	3	7	11	之	0	[《藤田2018》]	null		仍吏反		仍吏切				null	null	null			U+4F74
04F74-003-019-011	佴		nə̂i	3	19	11	之	0	[《藤田2018》]	null		奴代反		奴代切				null	null	null			U+4F74
04F76-004-005-027	佶		grit	4	5	27	質	2	[《切三》, 《P3694v》]	巨乙反		巨乙反		巨乙切				群	質	入			U+4F76
04F7A-001-028-032	佺		chyen	1	28	32	元	2	[《切三》]	此緣反		此緣反		此緣切				清	仙	平			U+4F7A
04F7C-001-031-002	佼		krau	1	31	2	宵	2	[《切三》]	null		null		古肴切				見	肴	平			U+4F7C
04F7C-002-029-002	佼		xráu	2	29	2	宵	2	[《切三》]	null		下巧反		下巧切				null	null	null			U+4F7C
04F7C-002-029-006	佼		kráu	2	29	6	宵	2	[《切三》]	古巧反		古巧反		古巧切				見	巧	上			U+4F7C
04F84-003-005-004	侄		drit	3	5	4	質	2	[《切三》]	null		null		null		null		澄	質	入	見音義欄。	detの變種。見“姪”字條。《辭源》：“同‘姪’。”	U+4F84
04F84-004-005-001	侄		tit	4	5	1	質	2	[《切三》]	null		null		之日切				null	null	null			U+4F84
04F84-004-014-010	侄		det	4	14	10	質	2	[《切三》]	null		null		null		null		定	屑	入	見音義欄。	dritの變種。見“姪”字條。《辭源》：“同‘姪’。”	U+4F84
04F86-001-016-007	來		ləi	1	16	7	之	1	[《P3695》]	落哀反		落哀反		落哀切				來	咍	平			U+4F86
04F86-003-019-013	來		lə̂i	3	19	13	之	0	[《藤田2018》]	null		null		null		洛代切		null	null	null			U+4F86
04F8B-003-014-025	例		liêi	3	14	25	月	3	[《P3696(1)v》]	力制反		力制反		力制切				來	祭	去			U+4F8B
04F8C-001-046-022	侌		qrim	1	46	22	侵	2	[《S6187》]	null		null		null		於金切		null	null	null			U+4F8C
04F8D-003-007-017	侍		diə̂	3	7	17	之	0	[《藤田2018》]	時吏反		時吏反		時吏切				禪	志	去			U+4F8D
04F8F-001-010-009	侏		tryo	1	10	9	侯	2	[《切三》]	null		null		null		追輸切		null	null	null			U+4F8F
04F8F-001-010-014	侏		tyo	1	10	14	侯	2	[《切三》]	止俱反		止俱反		章俱切				章	虞	平			U+4F8F
04F8F-001-043-028	侏		tryu	1	43	28	幽	0	[《藤田2018》]	null		null		null		張流切		null	null	null			U+4F8F
04F9B-001-002-005	供		kyoŋ	1	2	5	東	3	[《切二》]	駒冬反	原誤作“駒東反”。	駒冬反		九容切				見	鍾	平			U+4F9B
04F9B-003-003-006	供		kyôŋ	3	3	6	東	0	[《藤田2018》]	居用反		居用反		居用切				見	用	去			U+4F9B
04F9C-001-043-028	侜		tryu	1	43	28	幽	0	[《藤田2018》]	null		張流反		張流切				null	null	null			U+4F9C
04F9D-001-008-011	依		qiəi	1	8	11	微	2	[《切三》]	於機反		於機反		於希切				影	微	平			U+4F9D
04F9D-002-007-003	依		qiə́i	2	7	3	微	2	[《切三》, 《TIVK75-100br》]	null		null		null		隱豈切		null	null	null			U+4F9D
04FA3-002-008-002	侣		lió	2	8	2	魚	2	[《切三》]	力舉反		力舉反		力舉切				來	語	上			U+4FA3
04FB7-004-003-005	侷		gyok	4	3	5	屋	2	[《切三》]	null		null		渠玉切				null	null	null			U+4FB7
04FC2-003-013-009	係		kêi	3	13	9	錫	3	[《P3696(1)v》]	古詣反		古詣反		古詣切				null	null	null			U+4FC2
04FC2-003-013-010	係		xêi	3	13	10	錫	3	[《P3696(1)v》]	null		null		null		胡計切		匣	霽	去			U+4FC2
04FC3-004-003-018	促		chyok	4	3	18	屋	2	[《切三》]	七玉反		七玉反		七玉切				清	燭	入			U+4FC3
04FC3-004-004-019	促		chrok	4	4	19	屋	2	[《切三》]	null		null		null		測角切		null	null	null			U+4FC3
04FC4-001-033-017	俄		ŋa	1	33	17	歌	2	[《切三》]	五哥反		五歌反		五何切				疑	歌	平			U+4FC4
04FC5-001-043-029	俅		gyu	1	43	29	幽	2	[《切三》]	null		巨鳩反		巨鳩切				群	尤	平			U+4FC5
04FCA-003-021-023	俊		cŷn	3	21	23	文	0	[《藤田2018》]	null		子峻反		子峻切				精	稕	去			U+4FCA
04FCA-003-021-024	俊		shŷn	3	21	24	文	3	[《S6176r》]	null		null		null		輸閏切		null	null	null			U+4FCA
04FCF-003-033-001	俏		siêu	3	33	1	宵	0	[《藤田2018》]	null		null		null		仙妙切		心	笑	去			U+4FCF
04FCF-003-033-011	俏		chiêu	3	33	11	宵	0	[《藤田2018》]	null		null		七肖切				清	笑	去			U+4FCF
04FD0-003-006-017	俐		lî	3	6	17	質	0	[《藤田2018》]	null		null		null		null		來	至	去	《龍龕手鑒》：“俐，音利。”		U+4FD0
04FD1-001-001-029	俑		thuŋ	1	1	29	東	3	[《切二》]	null		null		他紅切				null	null	null			U+4FD1
04FD1-002-002-010	俑		jyóŋ	2	2	10	東	2	[《切三》]	餘隴反		餘隴反		余隴切				以	腫	上			U+4FD1
04FD4-002-025-007	俔		xén	2	25	7	元	2	[《切三》]	null		胡繭反		胡典切				匣	銑	上			U+4FD4
04FD4-003-030-011	俔		khên	3	30	11	元	0	[《藤田2018》]	苦見反		苦見反		苦甸切				溪	霰	去			U+4FD4
04FD8-001-010-019	俘		phyo	1	10	19	幽	2	[《切三》]	撫夫反		撫夫反		芳無切				敷	虞	平			U+4FD8
04FDA-002-006-010	俚		liə́	2	6	10	之	2	[《切三》, 《TIVK75-100br》]	良士反		良士反		良士切				來	止	上			U+4FDA
04FDD-002-030-015	保		páu	2	30	15	幽	2	[《切三》]	博抱反		博抱反		博抱切				幫	皓	上			U+4FDD
04FE1-001-017-014	信		shin	1	17	14	真	2	[《切三》]	null		null		null		升人切		書	真	平			U+4FE1
