grien	dziwdu	dziwdu_qhanshiev	xreishievbu	xreishievbu_qhanshiev	pyunqhrua	xreishievbu_pyuideiqit	shievvuai	shievvuai_pyunqhrua_xryitriw	thovqitmra_xreishievbu	thonvqitmra_dziwdu
04E29-04E29	丩		丩			[]	[]		U+4E29	U+4E29
04E29-053EB	叫		丩			[]	[口]		U+4E29	U+53EB
04E29-06536	收		丩			[收]	[攴]		U+4E29	U+6536
04E29-07CFE	糾		丩			[]	[糸]		U+4E29	U+7CFE
04E29-0834D	荍		丩			[收]	[攴, 艸]		U+4E29	U+834D
04E29-0866C	虬		丩			[]	[虫]		U+4E29	U+866C
04E29-089D3	觓		丩			[]	[角]		U+4E29	U+89D3
04E29-08D73	赳		丩			[]	[走]		U+4E29	U+8D73
04E2B-04E2B	丫		丫			[]	[]		U+4E2B	U+4E2B
04E2D-04E2D	中		中			[]	[]		U+4E2D	U+4E2D
04E2D-04EF2	仲		中			[]	[人]		U+4E2D	U+4EF2
04E2D-051B2	冲		中			[]	[水]		U+4E2D	U+51B2
04E2D-05FE0	忠		中			[]	[心]		U+4E2D	U+5FE0
04E2D-05FE1	忡		中			[]	[心]		U+4E2D	U+5FE1
04E2D-076C5	盅		中			[]	[皿]		U+4E2D	U+76C5
04E2D-079CD	种		中			[]	[禾]		U+4E2D	U+79CD
04E2D-0869B	蚛		中			[]	[虫]		U+4E2D	U+869B
04E2D-08877	衷		中			[]	[衣]		U+4E2D	U+8877
04E32-04E32	串		串			[]	[]		U+4E32	U+4E32
04E32-060A3	患		串			[患]	[心]		U+4E32	U+60A3
04E32-06F36	漶		串			[患]	[心, 水]		U+4E32	U+6F36
04E39-04E39	丹		丹			[]	[]		U+4E39	U+4E39
04E39-065C3	旃		丹			[旃]	[㫃]		U+4E39	U+65C3
04E39-06834	栴		丹			[旃]	[㫃, 木]		U+4E39	U+6834
04E45-04E45	久		久			[]	[]		U+4E45	U+4E45
04E45-0531B	匛		久			[]	[匚]		U+4E45	U+531B
04E45-067E9	柩		久			[匛]	[匚, 木]		U+4E45	U+67E9
04E45-067FE	柾		久			[匛]	[匚, 木]		U+4E45	U+67FE
04E45-07078	灸		久			[]	[火]		U+4E45	U+7078
04E45-07396	玖		久			[]	[玉]		U+4E45	U+7396
04E45-0759A	疚		久			[]	[疒]		U+4E45	U+759A
04E4B-04E4B	之		之			[]	[]		U+4E4B	U+4E4B
04E4B-04F8D	侍		之			[寺]	[寸, 人]		U+4E4B	U+4F8D
04E4B-055E4	嗤		之			[蚩]	[虫, 口]		U+4E4B	U+55E4
04E4B-05852	塒		之			[寺, 時]	[寸, 日, 土]		U+4E4B	U+5852
04E4B-05AB8	媸		之			[蚩]	[虫, 女]		U+4E4B	U+5AB8
04E4B-05BFA	寺		之			[寺]	[寸]		U+4E4B	U+5BFA
04E4B-05CD9	峙		之			[寺]	[寸, 山]		U+4E4B	U+5CD9
04E4B-05EA4	庤		之			[寺]	[寸, 广]		U+4E4B	U+5EA4
04E4B-05F85	待		之			[寺]	[寸, 彳]		U+4E4B	U+5F85
04E4B-05FD7	志		之			[志]	[心]		U+4E4B	U+5FD7
04E4B-06043	恃		之			[寺]	[寸, 心]		U+4E4B	U+6043
04E4B-06301	持		之			[寺]	[寸, 手]		U+4E4B	U+6301
04E4B-064E1	擡		之			[臺]	[臺]		U+4E4B	U+64E1
04E4B-06642	時		之			[寺, 時]	[寸, 日]		U+4E4B	U+6642
04E4B-06AAF	檯		之			[臺]	[臺]		U+4E4B	U+6AAF
04E4B-06ECD	滍		之			[蚩]	[虫, 水]		U+4E4B	U+6ECD
04E4B-07279	特		之			[寺]	[寸, 牛]		U+4E4B	U+7279
04E4B-07564	畤		之			[寺]	[寸, 田]		U+4E4B	U+7564
04E4B-075D4	痔		之			[寺]	[寸, 疒]		U+4E4B	U+75D4
04E4B-075E3	痣		之			[志]	[心, 疒]		U+4E4B	U+75E3
04E4B-07B49	等		之			[寺]	[寸, 竹]		U+4E4B	U+7B49
04E4B-081FA	臺		之			[臺]	[臺]		U+4E4B	U+81FA
04E4B-0829D	芝		之			[]	[艸]		U+4E4B	U+829D
04E4B-08494	蒔		之			[寺, 時]	[寸, 日, 艸]		U+4E4B	U+8494
04E4B-085B9	薹		之			[臺]	[臺]		U+4E4B	U+85B9
04E4B-086A9	蚩		之			[蚩]	[虫]		U+4E4B	U+86A9
04E4B-08A69	詩		之			[寺]	[寸, 言]		U+4E4B	U+8A69
04E4B-08A8C	誌		之			[志]	[心, 言]		U+4E4B	U+8A8C
04E4B-08DF1	跱		之			[寺]	[寸, 足]		U+4E4B	U+8DF1
04E4B-090BF	邿		之			[寺]	[寸, 邑]		U+4E4B	U+90BF
04E4B-09C23	鰣		之			[寺, 時]	[寸, 日, 魚]		U+4E4B	U+9C23
04E56-04E56	乖		乖			[]	[]		U+4E56	U+4E56
04E58-04E58	乘		乘			[]	[]		U+4E58	U+4E58
04E58-05269	剩		乘			[]	[刀]		U+4E58	U+5269
04E58-05D4A	嵊		乘			[]	[山]		U+4E58	U+5D4A
04E5D-04E5D	九		九			[]	[]		U+4E5D	U+4E5D
04E5D-04EC7	仇		九			[]	[人]		U+4E5D	U+4EC7
04E5D-0532D	匭		九			[軌]	[車, 匚]		U+4E5D	U+532D
04E5D-053B9	厹		九			[]	[口]		U+4E5D	U+53B9
04E5D-05B84	宄		九			[]	[宀]		U+4E5D	U+5B84
04E5D-05C3B	尻		九			[]	[尸]		U+4E5D	U+5C3B
04E5D-065ED	旭		九			[]	[日]		U+4E5D	U+65ED
04E5D-06C3F	氿		九			[]	[水]		U+4E5D	U+6C3F
04E5D-072B0	犰		九			[]	[犬]		U+4E5D	U+72B0
04E5D-07307	猇		九			[虓]	[虎, 犬]	1	U+4E5D	U+7307
04E5D-07A76	究		九			[]	[穴]		U+4E5D	U+7A76
04E5D-0827D	艽		九			[]	[艸]		U+4E5D	U+827D
04E5D-08653	虓		九			[虓]	[虎]		U+4E5D	U+8653
04E5D-08A04	訄		九			[]	[言]		U+4E5D	U+8A04
04E5D-08ECC	軌		九			[軌]	[車]		U+4E5D	U+8ECC
04E5D-09997	馗		九			[]	[首]		U+4E5D	U+9997
04E5D-09CE9	鳩		九			[]	[鳥]		U+4E5D	U+9CE9
04E85-04E85	亅		亅			[]	[]		U+4E85	U+4E85
04E86-04E86	了		了			[]	[]		U+4E86	U+4E86
04E88-04E88	予		予			[]	[]		U+4E88	U+4E88
04E88-04F03	伃		予			[]	[人]		U+4E88	U+4F03
04E88-05885	墅		予			[野]	[土, 田, 土]		U+4E88	U+5885
04E88-059A4	妤		予			[]	[女]		U+4E88	U+59A4
04E88-05E8F	序		予			[]	[广]		U+4E88	U+5E8F
04E88-06292	抒		予			[]	[手]		U+4E88	U+6292
04E88-0677C	杼		予			[]	[木]		U+4E88	U+677C
04E88-06FA6	澦		予			[預]	[頁, 水]		U+4E88	U+6FA6
04E88-07D13	紓		予			[]	[糸]		U+4E88	U+7D13
04E88-082A7	芧		予			[]	[艸]		U+4E88	U+82A7
04E88-08577	蕷		予			[預]	[頁, 艸]		U+4E88	U+8577
04E88-08C6B	豫		予			[]	[象]		U+4E88	U+8C6B
04E88-091CE	野		予			[野]	[土, 田]		U+4E88	U+91CE
04E88-09810	預		予			[預]	[頁]		U+4E88	U+9810
04E89-04E89	争		争			[]	[]		U+4E89	U+4E89
04E89-051C0	净		争			[]	[冫]		U+4E89	U+51C0
04E89-05CE5	峥		争			[]	[山]		U+4E89	U+5CE5
04E89-06D44	浄		争			[]	[水]		U+4E89	U+6D44
04E89-0701E	瀞		争			[静]	[青, 水]		U+4E89	U+701E
04E89-072F0	狰		争			[]	[犬]		U+4E89	U+72F0
04E89-07424	琤		争			[]	[玉]		U+4E89	U+7424
04E89-07741	睁		争			[]	[目]		U+4E89	U+7741
04E89-07AEB	竫		争			[]	[立]		U+4E89	U+7AEB
04E89-07B5D	筝		争			[]	[竹]		U+4E89	U+7B5D
04E89-08ACD	諍		争			[]	[言]		U+4E89	U+8ACD
04E89-0931A	錚		争			[]	[金]		U+4E89	U+931A
04E89-09759	静		争			[静]	[青]		U+4E89	U+9759
04E8C-04E8C	二		二			[]	[]		U+4E8C	U+4E8C
04E8C-05F0D	弍		二			[]	[戌]		U+4E8C	U+5F0D
04E8C-06A32	樲		二			[]	[戌, 貝, 木]		U+4E8C	U+6A32
04E8C-081A9	膩		二			[]	[戌, 貝, 肉]		U+4E8C	U+81A9
04E8C-08CB3	貳		二			[]	[戌, 貝]		U+4E8C	U+8CB3
04E91-048B5	䢵		云			[]	[邑]		U+4E91	U+48B5
04E91-04E91	云		云			[]	[]		U+4E91	U+4E91
04E91-05998	妘		云			[]	[女]		U+4E91	U+5998
04E91-06C84	沄		云			[]	[水]		U+4E91	U+6C84
04E91-06F90	澐		云			[雲]	[雨, 水]		U+4E91	U+6F90
04E91-07D1C	紜		云			[]	[糸]		U+4E91	U+7D1C
04E91-08018	耘		云			[]	[耒]		U+4E91	U+8018
04E91-082B8	芸		云			[]	[艸]		U+4E91	U+82B8
04E91-08553	蕓		云			[雲]	[雨, 艸]		U+4E91	U+8553
04E91-096F2	雲		云			[雲]	[雨]		U+4E91	U+96F2
04E91-09B42	魂		云			[]	[鬼]		U+4E91	U+9B42
04E94-04E94	五		五			[]	[]		U+4E94	U+4E94
04E94-04F0D	伍		五			[]	[人]		U+4E94	U+4F0D
04E94-0543E	吾		五			[吾]	[口]		U+4E94	U+543E
04E94-0554E	啎		五			[吾]	[口, 午]		U+4E94	U+554E
04E94-05704	圄		五			[吾]	[口, 囗]		U+4E94	U+5704
04E94-05BE4	寤		五			[吾]	[口, 㝱]		U+4E94	U+5BE4
04E94-05CFF	峿		五			[吾]	[口, 山]		U+4E94	U+5CFF
04E94-0609F	悟		五			[吾]	[口, 心]		U+4E94	U+609F
04E94-06342	捂		五			[吾]	[口, 手]		U+4E94	U+6342
04E94-06554	敔		五			[吾]	[口, 攴]		U+4E94	U+6554
04E94-06664	晤		五			[吾]	[口, 日]		U+4E94	U+6664
04E94-068A7	梧		五			[吾]	[口, 木]		U+4E94	U+68A7
04E94-06D6F	浯		五			[吾]	[口, 水]		U+4E94	U+6D6F
04E94-08859	衙		五			[吾]	[口, 行]		U+4E94	U+8859
04E94-08A9E	語		五			[吾]	[口, 言]		U+4E94	U+8A9E
04E94-090DA	郚		五			[吾]	[口, 邑]		U+4E94	U+90DA
04E94-092D9	鋙		五			[吾]	[口, 金]		U+4E94	U+92D9
04E94-09F2F	鼯		五			[吾]	[口, 鼠]		U+4E94	U+9F2F
04E94-09F6C	齬		五			[吾]	[口, 齒]		U+4E94	U+9F6C
04E95-04E3C	丼		井		分	[]	[]		U+4E95	U+4E3C
04E95-04E95	井		井			[]	[]		U+4E95	U+4E95
04E95-05029	倩		井			[青, 倩]	[生, 人]		U+4E95	U+5029
04E95-051CA	凊		井			[青]	[生, 冫]		U+4E95	U+51CA
04E95-05259	剙		井			[]	[刅]		U+4E95	U+5259
04E95-0570A	圊		井			[青]	[生, 囗]		U+4E95	U+570A
04E95-05A67	婧		井			[青]	[生, 女]		U+4E95	U+5A67
04E95-05D1D	崝		井			[青]	[生, 山]		U+4E95	U+5D1D
04E95-060C5	情		井			[青]	[生, 心]		U+4E95	U+60C5
04E95-06674	晴		井			[青]	[生, 日]		U+4E95	U+6674
04E95-06E05	清		井			[青]	[生, 水]		U+4E95	U+6E05
04E95-0775B	睛		井			[青]	[生, 目]		U+4E95	U+775B
04E95-07A7D	穽		井			[]	[穴]		U+4E95	U+7A7D
04E95-07CBE	精		井			[青]	[生, 米]		U+4E95	U+7CBE
04E95-07DAA	綪		井			[青]	[生, 糸]		U+4E95	U+7DAA
04E95-083C1	菁		井			[青]	[生, 艸]		U+4E95	U+83C1
04E95-084A8	蒨		井			[青, 倩]	[生, 人, 艸]		U+4E95	U+84A8
04E95-0873B	蜻		井			[青]	[生, 虫]		U+4E95	U+873B
04E95-08ACB	請		井			[青]	[生, 言]		U+4E95	U+8ACB
04E95-09306	錆		井			[青]	[生, 金]		U+4E95	U+9306
04E95-09631	阱		井			[]	[阜]		U+4E95	U+9631
04E95-09752	青		井			[青]	[生]		U+4E95	U+9752
04E95-09756	靖		井			[青]	[生, 立]		U+4E95	U+9756
04E95-0975A	靚		井			[青]	[生, 見]		U+4E95	U+975A
04E95-09BD6	鯖		井			[青]	[生, 魚]		U+4E95	U+9BD6
04E95-09D84	鶄		井			[青]	[生, 鳥]		U+4E95	U+9D84
04EA1-04EA1	亡		亡			[]	[]		U+4EA1	U+4EA1
04EA1-05984	妄		亡			[]	[女]		U+4EA1	U+5984
04EA1-05DDF	巟		亡			[巟]	[川]		U+4EA1	U+5DDF
04EA1-05FD8	忘		亡			[]	[心]		U+4EA1	U+5FD8
04EA1-05FD9	忙		亡			[]	[心]		U+4EA1	U+5FD9
04EA1-060D8	惘		亡			[罔]	[网, 心]		U+4EA1	U+60D8
04EA1-0614C	慌		亡			[巟, 荒]	[川, 艸, 心]		U+4EA1	U+614C
04EA1-0671B	望		亡			[]	[朢]		U+4EA1	U+671B
04EA1-06757	杗		亡			[]	[木]		U+4EA1	U+6757
04EA1-06C13	氓		亡			[]	[民]		U+4EA1	U+6C13
04EA1-0753F	甿		亡			[]	[田]		U+4EA1	U+753F
04EA1-076F2	盲		亡			[]	[目]		U+4EA1	U+76F2
04EA1-07DB2	網		亡			[罔]	[网, 糸]		U+4EA1	U+7DB2
04EA1-07F54	罔		亡			[]	[网]		U+4EA1	U+7F54
04EA1-08093	肓		亡			[]	[肉]		U+4EA1	U+8093
04EA1-08292	芒		亡			[芒]	[艸]		U+4EA1	U+8292
04EA1-0832B	茫		亡			[]	[水, 艸]		U+4EA1	U+832B
04EA1-08352	荒		亡			[巟, 荒]	[川, 艸]		U+4EA1	U+8352
04EA1-0867B	虻		亡			[]	[虫]		U+4EA1	U+867B
04EA1-08841	衁		亡			[]	[血]		U+4EA1	U+8841
04EA1-08F1E	輞		亡			[罔]	[网, 車]		U+4EA1	U+8F1E
04EA1-09099	邙		亡			[]	[邑]		U+4EA1	U+9099
04EA1-092E9	鋩		亡			[芒]	[艸, 金]		U+4EA1	U+92E9
04EA1-09B4D	魍		亡			[罔]	[网, 鬼]		U+4EA1	U+9B4D
04EA4-04EA4	交		交			[]	[]		U+4EA4	U+4EA4
04EA4-04F7C	佼		交			[]	[人]		U+4EA4	U+4F7C
04EA4-0509A	傚		交			[效]	[攴, 人]		U+4EA4	U+509A
04EA4-054AC	咬		交			[]	[口]		U+4EA4	U+54AC
04EA4-059E3	姣		交			[]	[女]		U+4EA4	U+59E3
04EA4-06054	恔		交			[]	[心]		U+4EA4	U+6054
04EA4-06548	效		交			[效]	[攴]		U+4EA4	U+6548
04EA4-06648	晈		交			[]	[日]		U+4EA4	U+6648
04EA4-06821	校		交			[]	[木]		U+4EA4	U+6821
04EA4-06D28	洨		交			[]	[水]		U+4EA4	U+6D28
04EA4-072E1	狡		交			[]	[犬]		U+4EA4	U+72E1
04EA4-0768E	皎		交			[]	[白]		U+4EA4	U+768E
04EA4-0792E	礮		交			[駮]	[馬, 石]		U+4EA4	U+792E
04EA4-07A94	窔		交			[]	[穴]		U+4EA4	U+7A94
04EA4-07D5E	絞		交			[]	[糸]		U+4EA4	U+7D5E
04EA4-080F6	胶		交			[]	[肉]		U+4EA4	U+80F6
04EA4-0832D	茭		交			[]	[艸]		U+4EA4	U+832D
04EA4-086DF	蛟		交			[]	[虫]		U+4EA4	U+86DF
04EA4-08DE4	跤		交			[]	[足]		U+4EA4	U+8DE4
04EA4-08F03	較		交			[]	[車]		U+4EA4	U+8F03
04EA4-090CA	郊		交			[]	[邑]		U+4EA4	U+90CA
04EA4-09278	鉸		交			[]	[金]		U+4EA4	U+9278
04EA4-099EE	駮		交			[駮]	[馬]		U+4EA4	U+99EE
04EA4-09AB9	骹		交			[]	[骨]		U+4EA4	U+9AB9
04EA4-09BAB	鮫		交			[]	[魚]		U+4EA4	U+9BAB
04EA4-09D41	鵁		交			[]	[鳥]		U+4EA4	U+9D41
04EA4-09F69	齩		交			[]	[齒]		U+4EA4	U+9F69
04EA6-04EA6	亦		亦			[]	[]		U+4EA6	U+4EA6
04EA6-0591C	夜		亦			[夜]	[夕]		U+4EA6	U+591C
04EA6-05955	奕		亦			[]	[大]		U+4EA6	U+5955
04EA6-05E1F	帟		亦			[]	[巾]		U+4EA6	U+5E1F
04EA6-05F08	弈		亦			[]	[廾]		U+4EA6	U+5F08
04EA6-06396	掖		亦			[夜]	[夕]		U+4EA6	U+6396
04EA6-06DB2	液		亦			[夜]	[夕, 水]		U+4EA6	U+6DB2
04EA6-0814B	腋		亦			[夜]	[夕, 肉]		U+4EA6	U+814B
04EA6-087AB	螫		亦			[赦]	[攴, 虫]		U+4EA6	U+87AB
04EA6-08D66	赦		亦			[赦]	[攴]		U+4EA6	U+8D66
04EA6-09D7A	鵺		亦			[夜]	[夕, 鳥]		U+4EA6	U+9D7A
04EAC-04EAC	京		京			[]	[]		U+4EAC	U+4EAC
04EAC-04EAE	亮		京			[]	[人]		U+4EAC	U+4EAE
04EAC-0501E	倞		京			[]	[人]		U+4EAC	U+501E
04EAC-051C9	凉		京			[]	[水]		U+4EAC	U+51C9
04EAC-052CD	勍		京			[]	[力]		U+4EAC	U+52CD
04EAC-05F36	弶		京			[]	[弓]		U+4EAC	U+5F36
04EAC-05F71	影		京			[景]	[日, 彡]		U+4EAC	U+5F71
04EAC-061AC	憬		京			[景]	[日, 心]		U+4EAC	U+61AC
04EAC-063A0	掠		京			[]	[手]		U+4EAC	U+63A0
04EAC-0666F	景		京			[景]	[日]		U+4EAC	U+666F
04EAC-0690B	椋		京			[]	[木]		U+4EAC	U+690B
04EAC-0749F	璟		京			[景]	[日, 玉]		U+4EAC	U+749F
04EAC-08AD2	諒		京			[]	[言]		U+4EAC	U+8AD2
04EAC-09BE8	鯨		京			[]	[魚]		U+4EAC	U+9BE8
04EAC-09E96	麖		京			[]	[鹿]		U+4EAC	U+9E96
04EAC-09EE5	黥		京			[]	[黑]		U+4EAC	U+9EE5
04EBA-04EBA	人		人			[]	[]		U+4EBA	U+4EBA
04EBA-04EC1	仁		人			[仁]	[二]		U+4EBA	U+4EC1
04EBA-04EDF	仟		人			[千]	[一, 人]		U+4EBA	U+4EDF
04EBA-04F5E	佞		人			[仁]	[二, 女]		U+4EBA	U+4F5E
04EBA-04FE1	信		人			[]	[言]		U+4EBA	U+4FE1
04EBA-0513F	儿		人		异	[]	[]		U+4EBA	U+513F
04EBA-05343	千		人			[千]	[一]		U+4EBA	U+5343
04EBA-05E74	年		人			[]	[禾]		U+4EBA	U+5E74
04EBA-06744	杄		人			[千]	[一, 木]		U+4EBA	U+6744
04EBA-0828A	芊		人			[千]	[一, 艸]		U+4EBA	U+828A
04EBA-08FC1	迁		人			[千]	[一, 辵]		U+4EBA	U+8FC1
04EBA-09621	阡		人			[千]	[一, 阜]		U+4EBA	U+9621
04ECA-04ECA	今		今			[]	[]		U+4ECA	U+4ECA
04ECA-04F8C	侌		今			[侌]	[云]		U+4ECA	U+4F8C
04ECA-0541F	吟		今			[]	[口]		U+4ECA	U+541F
04ECA-0542B	含		今			[含]	[口]		U+4ECA	U+542B
04ECA-05C91	岑		今			[]	[山]		U+4ECA	U+5C91
04ECA-05ED5	廕		今			[侌, 陰]	[云, 阜, 广]		U+4ECA	U+5ED5
04ECA-064D2	擒		今			[禽]	[禽, 手]		U+4ECA	U+64D2
04ECA-068FD	棽		今			[]	[林]		U+4ECA	U+68FD
04ECA-06A8E	檎		今			[禽]	[禽, 木]		U+4ECA	U+6A8E
04ECA-06D94	涔		今			[]	[山, 水]		U+4ECA	U+6D94
04ECA-07434	琴		今			[]	[玨]		U+4ECA	U+7434
04ECA-079BD	禽		今			[禽]	[禽]		U+4ECA	U+79BD
04ECA-082A9	芩		今			[]	[艸]		U+4ECA	U+82A9
04ECA-0852D	蔭		今			[侌, 陰]	[云, 阜, 艸]		U+4ECA	U+852D
04ECA-0887E	衾		今			[]	[衣]		U+4ECA	U+887E
04ECA-0887F	衿		今			[]	[衣]		U+4ECA	U+887F
04ECA-08C3D	谽		今			[含]	[口, 谷]		U+4ECA	U+8C3D
04ECA-08CAA	貪		今			[]	[貝]		U+4ECA	U+8CAA
04ECA-09210	鈐		今			[]	[金]		U+4ECA	U+9210
04ECA-09670	陰		今			[侌, 陰]	[云, 阜]		U+4ECA	U+9670
04ECA-09837	頷		今			[含]	[口, 頁]		U+4ECA	U+9837
04ECA-09ED4	黔		今			[]	[黑]		U+4ECA	U+9ED4
04ECA-09F95	龕		今			[]	[龍]		U+4ECA	U+9F95
04ECB-04E2A	个		介		分	[]	[]		U+4ECB	U+4E2A
04ECB-04ECB	介		介			[]	[]		U+4ECB	U+4ECB
